"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
1,1,20,3,10,2020,"173_1",4,10
2,1,6,4,16,2020,"633_2",3,16
2,1,4,4,5,2020,"923_2",2,5
1,1,21,1,5,2020,"2886_1",4,5
2,2,24,1,5,2020,"2886_2",5,5
2,1,26,2,8,2020,"3717_1",3,8
2,1,30,3,19,2020,"5416_2",3,19
2,3,50,3,19,2020,"5416_6",4,19
2,3,62,2,19,2020,"5416_5",4,19
1,3,52,2,19,2020,"5416_7",3,19
1,1,22,1,20,2020,"7886_1",4,20
2,2,25,1,20,2020,"7886_2",4,20
1,1,32,1,16,2020,"20297_1",3,16
2,1,17,1,15,2020,"20711_2",3,15
1,2,16,1,15,2020,"20711_1",2,15
1,1,30,1,7,2020,"22099_1",3,7
2,2,34,1,7,2020,"22099_2",2,7
2,1,16,4,7,2020,"22169_2",2,7
2,1,46,2,7,2020,"22173_6",4,7
1,4,10,4,7,2020,"22173_1",2,7
2,3,78,2,7,2020,"22173_7",1,7
1,1,21,2,19,2020,"22276_3",4,19
1,1,22,1,19,2020,"22286_1",2,19
2,2,28,1,19,2020,"22286_2",2,19
2,1,33,1,7,2020,"22624_2",3,7
1,2,29,1,7,2020,"22624_1",2,7
2,3,66,2,7,2020,"22624_6",4,7
2,3,68,2,7,2020,"22624_7",4,7
2,1,23,1,8,2020,"22657_1",5,8
1,2,18,1,8,2020,"22657_3",4,8
2,1,9,2,16,2020,"23490_2",4,16
1,1,27,1,7,2020,"23797_1",3,7
2,2,30,1,7,2020,"23797_2",2,7
2,1,40,2,8,2020,"23821_4",3,8
2,4,8,4,8,2020,"23821_2",2,8
2,1,8,4,8,2020,"23823_2",2,8
2,3,43,2,8,2020,"23823_3",4,8
1,1,20,1,15,2020,"24147_1",5,15
2,2,30,1,15,2020,"24147_2",4,15
2,1,11,4,8,2020,"24809_2",2,8
1,1,29,1,3,2020,"24853_1",3,8
2,2,34,1,3,2020,"24853_2",4,8
2,1,10,4,11,2020,"27114_2",2,11
2,1,12,4,11,2020,"27116_2",3,11
1,1,24,1,4,2020,"27238_1",3,4
2,2,33,1,4,2020,"27238_2",3,4
1,3,49,2,4,2020,"27238_5",3,4
1,1,11,1,13,2020,"27730_1",2,13
2,2,21,1,13,2020,"27730_2",3,13
1,3,56,2,13,2020,"27730_5",4,13
2,3,43,2,13,2020,"27730_3",3,13
1,1,19,1,13,2020,"27734_1",2,13
2,2,23,1,13,2020,"27734_2",3,13
2,1,10,4,13,2020,"27739_2",2,13
2,1,4,4,13,2020,"27742_2",2,13
1,1,20,1,5,2020,"27912_1",4,5
2,2,26,1,5,2020,"27912_2",3,5
1,1,23,1,5,2020,"27923_1",4,5
2,2,29,1,5,2020,"27923_2",3,4
1,3,63,2,5,2020,"27923_6",4,5
1,3,71,2,5,2020,"27923_7",4,5
2,1,13,4,13,2020,"28992_2",3,13
1,1,21,1,20,2020,"29140_1",3,20
2,2,24,1,20,2020,"29140_2",3,20
1,1,5,1,11,2020,"29678_1",3,11
2,2,9,1,11,2020,"29678_2",1,11
1,1,36,1,11,2020,"29680_1",3,11
2,2,42,1,11,2020,"29680_2",2,11
1,3,61,2,11,2020,"29680_3",5,11
1,3,65,2,11,2020,"29680_4",3,11
1,1,23,1,8,2020,"29737_1",5,8
2,2,25,1,8,2020,"29737_2",5,8
1,1,26,3,1,2020,"31093_1",4,1
2,1,10,1,19,2020,"31220_2",2,19
1,2,7,1,19,2020,"31220_1",1,19
2,1,10,4,19,2020,"31221_1",4,4
2,3,50,2,19,2020,"31221_2",3,19
2,1,29,2,14,2020,"31625_2",5,8
1,1,13,1,14,2020,"31652_1",3,7
2,2,15,1,14,2020,"31652_2",5,14
1,1,36,1,14,2020,"31695_3",3,14
2,2,41,1,14,2020,"31695_4",3,5
1,1,30,1,18,2020,"31724_1",4,18
2,2,34,1,18,2020,"31724_2",5,1
2,3,67,2,18,2020,"31724_4",5,18
2,4,70,2,18,2020,"31724_5",4,18
2,1,7,4,14,2020,"31757_1",3,15
1,1,30,1,7,2020,"31860_1",3,7
2,2,33,1,7,2020,"31860_2",4,7
2,3,60,2,7,2020,"31860_4",4,7
2,1,15,1,1,2020,"32057_2",4,1
1,2,10,1,1,2020,"32057_1",3,1
1,1,19,3,14,2020,"32190_1",4,14
2,1,34,1,15,2020,"32320_2",5,15
1,2,30,1,15,2020,"32320_1",4,17
1,3,65,2,15,2020,"32320_4",5,15
2,1,17,4,7,2020,"32471_1",2,7
1,1,17,1,19,2020,"32524_1",5,19
2,2,20,1,19,2020,"32524_2",5,19
2,1,19,4,16,2020,"32556_1",3,16
1,1,26,1,19,2020,"32729_1",3,19
2,2,30,1,19,2020,"32729_2",3,19
1,1,37,3,19,2020,"32734_3",3,19
1,1,26,1,19,2020,"32765_2",5,19
2,2,28,1,19,2020,"32765_1",5,19
2,1,24,1,19,2020,"32772_2",4,8
1,2,21,1,19,2020,"32772_1",3,19
1,1,34,2,10,2020,"32822_4",4,10
1,1,17,1,16,2020,"32839_1",4,16
2,2,16,1,16,2020,"32839_2",3,16
1,1,18,1,3,2020,"32861_1",2,3
2,2,23,1,3,2020,"32861_2",2,3
1,1,34,1,16,2020,"32887_1",4,16
2,2,37,1,16,2020,"32887_2",4,16
1,1,8,1,7,2020,"33036_1",2,7
2,2,11,1,7,2020,"33036_2",2,7
1,3,37,2,7,2020,"33036_3",3,7
2,4,12,4,7,2020,"33036_4",2,7
1,1,29,1,7,2020,"33038_1",4,7
2,2,27,1,7,2020,"33038_2",3,7
2,3,59,1,7,2020,"33038_6",4,7
1,3,61,2,7,2020,"33038_3",3,7
1,1,8,1,5,2020,"33275_1",6,8
2,4,17,1,5,2020,"33275_2",5,6
1,1,19,1,19,2020,"33303_1",4,19
2,2,11,1,19,2020,"33303_2",3,19
1,1,32,1,2,2020,"33335_1",4,2
2,2,31,1,2,2020,"33335_2",3,2
2,1,27,3,11,2020,"33451_5",4,11
1,3,54,2,11,2020,"33451_3",4,11
2,3,64,2,11,2020,"33451_4",4,11
2,1,6,2,11,2020,"33479_1",4,11
2,4,8,2,11,2020,"33479_2",4,11
2,1,18,3,8,2020,"33839_2",3,8
1,1,23,1,19,2020,"33882_1",3,19
2,2,31,1,19,2020,"33882_2",3,19
1,1,11,1,4,2020,"33937_1",3,11
2,2,19,1,4,2020,"33937_2",2,11
1,4,20,2,5,2020,"34252_1",3,5
1,1,35,2,8,2020,"34778_3",4,8
2,4,9,4,8,2020,"34778_2",2,8
1,1,25,1,19,2020,"34825_1",3,19
2,2,26,1,19,2020,"34825_2",5,3
2,1,38,1,7,2020,"35022_2",4,7
1,2,38,1,7,2020,"35022_1",3,7
1,1,11,1,20,2020,"35234_1",3,20
2,1,9,1,5,2020,"35322_2",2,5
1,2,2,1,5,2020,"35322_1",2,5
2,1,9,1,5,2020,"35323_2",2,5
1,2,9,1,5,2020,"35323_1",2,5
2,1,10,4,10,2020,"35340_2",1,10
1,3,39,2,10,2020,"35340_6",2,10
1,1,21,1,10,2020,"35372_1",3,10
2,2,27,1,10,2020,"35372_2",3,1
1,3,47,2,10,2020,"35372_3",3,1
1,1,21,1,10,2020,"35379_1",3,10
2,2,29,1,10,2020,"35379_2",3,10
1,1,18,1,20,2020,"35640_1",4,20
2,2,17,1,20,2020,"35640_2",3,20
2,1,27,1,16,2020,"35682_2",4,16
1,2,21,1,16,2020,"35682_1",2,16
1,1,23,1,16,2020,"35788_1",4,16
2,2,26,1,16,2020,"35788_2",3,16
1,1,35,1,16,2020,"36130_1",3,16
2,2,37,1,16,2020,"36130_2",3,16
2,1,35,4,9,2020,"36186_3",3,9
2,3,57,2,9,2020,"36186_4",4,9
1,3,63,2,9,2020,"36186_7",3,9
2,3,71,2,9,2020,"36186_6",4,9
2,1,33,3,8,2020,"36250_2",4,8
1,1,22,1,8,2020,"36321_1",3,8
2,2,23,1,8,2020,"36321_2",2,8
2,3,53,2,8,2020,"36321_3",3,8
2,1,30,4,4,2020,"36333_2",3,4
2,1,47,3,1,2020,"36403_6",3,1
2,4,15,4,1,2020,"36403_2",2,8
1,1,26,4,1,2020,"36409_1",4,1
1,1,25,1,19,2020,"36443_1",3,19
2,2,31,1,19,2020,"36443_2",3,19
2,1,25,3,19,2020,"36697_1",3,14
1,1,23,1,11,2020,"36893_1",3,11
2,2,32,1,11,2020,"36893_2",3,11
1,1,29,1,7,2020,"37299_1",3,7
2,2,33,1,7,2020,"37299_2",3,7
2,1,22,3,16,2020,"37521_2",5,16
2,1,22,2,4,2020,"37810_3",2,4
1,1,24,1,17,2020,"38014_1",4,16
2,2,28,1,17,2020,"38014_2",4,16
1,1,37,1,1,2020,"38095_1",3,1
2,2,33,1,1,2020,"38095_2",3,1
1,1,12,4,17,2020,"38106_1",4,17
1,1,29,1,16,2020,"38316_1",6,16
2,2,30,1,16,2020,"38316_2",6,16
1,3,61,2,16,2020,"38316_5",5,16
2,3,66,2,16,2020,"38316_6",5,16
1,1,19,1,5,2020,"38877_1",4,5
2,2,23,1,5,2020,"38877_2",4,5
1,1,16,1,5,2020,"38885_1",3,5
2,2,23,1,5,2020,"38885_2",3,5
2,1,41,1,13,2020,"38939_5",5,13
2,4,18,4,13,2020,"38939_2",3,13
2,3,77,2,13,2020,"38939_6",2,13
2,3,78,2,13,2020,"38939_7",1,13
1,1,16,1,13,2020,"38940_1",2,13
2,2,18,1,13,2020,"38940_2",4,13
1,1,28,1,14,2020,"39056_1",4,14
2,2,31,1,14,2020,"39056_2",4,14
2,2,11,1,16,2020,"39086_2",5,1
2,1,30,4,16,2020,"39095_3",4,16
2,1,12,2,16,2020,"39218_1",4,16
1,1,37,1,16,2020,"39227_5",3,16
1,4,6,4,16,2020,"39227_1",2,16
2,1,36,1,1,2020,"39317_6",4,1
1,2,34,1,1,2020,"39317_7",4,1
1,3,63,2,1,2020,"39317_3",4,1
1,3,69,2,1,2020,"39317_8",4,1
1,1,34,1,1,2020,"39318_1",3,1
2,2,38,1,1,2020,"39318_2",3,1
1,3,69,2,1,2020,"39318_3",5,1
2,1,21,3,20,2020,"39488_1",2,20
1,1,20,1,11,2020,"39697_1",5,11
2,2,24,1,11,2020,"39697_2",5,11
2,1,11,4,13,2020,"50231_2",2,13
1,3,30,2,13,2020,"50231_3",3,13
1,3,33,2,13,2020,"50231_7",3,13
2,1,5,4,2,2020,"51363_2",2,2
1,1,22,1,16,2020,"51544_1",3,16
2,2,15,1,16,2020,"51544_2",3,16
1,1,13,1,15,2020,"51895_1",2,15
2,2,12,1,15,2020,"51895_2",2,15
2,1,32,4,8,2020,"52700_2",2,8
2,1,28,4,6,2020,"52718_6",2,6
2,1,37,2,8,2020,"52736_4",4,8
1,1,28,2,19,2020,"53086_1",4,7
1,1,22,4,16,2020,"53202_1",2,16
1,1,18,1,19,2020,"53234_1",3,3
2,2,19,1,19,2020,"53234_2",3,7
1,3,57,2,19,2020,"53234_5",5,19
1,1,17,1,3,2020,"53373_1",4,3
2,1,4,4,3,2020,"53380_1",2,3
1,3,33,3,3,2020,"53380_2",4,3
2,1,27,3,3,2020,"53552_2",3,3
2,1,35,2,3,2020,"53564_5",4,3
1,3,38,3,14,2020,"53997_7",5,14
2,1,17,1,20,2020,"55147_2",2,20
1,2,2,1,20,2020,"55147_1",3,20
1,1,41,2,7,2020,"55425_3",5,7
2,1,30,1,7,2020,"55636_3",5,7
1,2,27,1,7,2020,"55636_2",4,7
2,4,1,4,7,2020,"55636_1",2,7
1,3,67,2,7,2020,"55636_6",5,7
2,1,25,4,9,2020,"55774_2",2,9
1,3,52,2,9,2020,"55774_5",4,9
1,3,45,2,9,2020,"55774_3",3,20
2,1,37,4,4,2020,"56251_1",4,4
1,3,61,2,4,2020,"56251_3",4,4
1,1,7,1,2,2020,"56563_1",2,2
2,2,9,1,2,2020,"56563_2",2,2
2,1,35,1,2,2020,"56582_2",3,2
1,2,28,1,2,2020,"56582_1",3,2
1,1,36,1,2,2020,"56603_1",3,19
2,2,40,1,2,2020,"56603_2",3,2
1,1,36,2,2,2020,"56658_1",3,2
1,1,8,1,2,2020,"56677_2",4,2
2,2,3,1,2,2020,"56677_1",3,3
1,3,40,2,2,2020,"56677_6",5,2
2,1,31,1,2,2020,"56721_4",3,2
1,2,27,1,2,2020,"56721_7",3,2
1,1,13,1,2,2020,"56761_3",3,2
2,2,19,1,2,2020,"56761_4",2,2
2,3,42,1,2,2020,"56761_5",5,2
1,4,41,1,2,2020,"56761_7",3,2
1,4,74,2,2,2020,"56761_6",3,2
1,4,75,2,2,2020,"56761_8",3,2
1,1,15,1,2,2020,"56762_1",2,2
2,2,27,1,2,2020,"56762_2",3,2
1,1,18,4,11,2020,"57042_1",2,11
2,1,22,4,11,2020,"57138_2",5,11
2,1,31,1,2,2020,"57621_2",4,2
1,2,22,1,2,2020,"57621_1",4,2
2,1,25,4,11,2020,"57670_1",4,11
2,3,43,1,11,2020,"57670_8",5,11
1,4,41,1,11,2020,"57670_9",5,11
2,4,77,2,11,2020,"57670_10",2,11
1,4,78,2,11,2020,"57670_11",1,11
2,1,26,1,11,2020,"57779_2",2,11
1,2,22,1,11,2020,"57779_1",3,11
2,3,48,2,11,2020,"57779_6",4,11
1,1,28,1,19,2020,"57962_1",4,19
2,2,31,1,19,2020,"57962_2",5,19
2,1,36,1,7,2020,"60078_2",3,7
1,2,29,1,7,2020,"60078_1",3,7
1,3,72,2,7,2020,"60078_5",4,7
1,1,41,1,14,2020,"91071_1",3,1
2,2,42,1,14,2020,"91071_2",4,14
1,3,70,2,14,2020,"91071_3",4,14
1,3,73,2,14,2020,"91071_4",3,14
2,1,35,1,2,2020,"91079_2",4,4
1,2,36,1,2,2020,"91079_1",4,2
1,3,69,2,2,2020,"91079_3",4,2
2,1,41,1,3,2020,"91081_2",5,3
1,2,37,1,3,2020,"91081_1",3,3
1,1,32,1,20,2020,"91095_1",4,20
2,2,35,1,20,2020,"91095_4",4,4
1,1,7,1,13,2020,"111052_1",2,13
2,2,13,1,13,2020,"111052_2",2,13
1,3,47,2,13,2020,"111052_6",4,13
2,1,28,1,13,2020,"145007_2",5,13
1,2,26,1,13,2020,"145007_1",5,13
1,3,62,2,13,2020,"145007_6",5,13
1,1,19,3,4,2020,"178001_1",3,4
1,1,19,1,18,2020,"213440_1",4,18
2,2,19,1,18,2020,"213440_2",3,10
2,1,6,4,18,2020,"224048_1",2,13
1,1,15,1,14,2020,"230029_1",3,14
2,2,18,1,14,2020,"230029_2",2,14
1,1,20,1,14,2020,"230037_1",3,7
2,2,20,1,14,2020,"230037_2",5,14
1,1,20,1,11,2020,"237003_1",4,11
2,2,16,1,11,2020,"237003_2",5,11
1,1,18,1,13,2020,"244013_1",2,13
2,2,18,1,13,2020,"244013_2",2,13
2,1,36,1,13,2020,"244058_2",4,13
1,2,36,1,13,2020,"244058_1",2,13
1,1,16,1,11,2020,"250005_1",4,7
2,2,21,1,11,2020,"250005_2",4,11
2,1,18,4,11,2020,"250010_2",2,11
2,4,46,2,11,2020,"250010_4",3,7
2,1,23,4,11,2020,"250039_1",2,11
2,1,12,4,13,2020,"282083_1",3,13
2,1,26,1,13,2020,"282089_2",2,13
1,2,22,1,13,2020,"282089_1",2,13
1,1,6,1,13,2020,"284086_1",2,13
2,2,15,1,13,2020,"284086_2",4,13
1,3,47,2,13,2020,"284086_3",3,13
1,1,10,1,13,2020,"310002_1",2,13
2,2,15,1,13,2020,"310002_2",2,13
2,1,19,4,13,2020,"310005_2",3,13
1,1,5,1,19,2020,"321009_1",2,19
2,2,8,1,19,2020,"321009_3",2,19
1,1,7,4,16,2020,"333081_1",5,4
2,2,6,1,16,2020,"333081_2",3,8
1,1,19,4,7,2020,"365034_1",3,7
1,1,17,1,16,2020,"387029_1",4,16
2,2,20,1,16,2020,"387029_2",3,16
2,1,27,1,4,2020,"389084_2",2,4
1,2,28,1,4,2020,"389084_1",3,4
1,1,16,4,1,2020,"500001_1",3,1
1,1,4,1,1,2020,"500090_1",2,16
2,2,11,1,1,2020,"500090_2",2,4
1,1,19,1,1,2020,"500176_1",2,7
2,2,20,1,1,2020,"500176_2",2,7
1,3,61,1,1,2020,"500176_5",3,1
1,1,36,1,1,2020,"500669_1",4,1
2,2,39,1,1,2020,"500669_2",3,1
2,1,11,4,1,2020,"500674_1",4,1
1,1,38,1,1,2020,"500726_1",4,1
2,2,41,1,1,2020,"500726_2",4,18
1,1,25,1,12,2020,"501068_1",2,11
2,2,32,1,12,2020,"501068_2",3,11
1,1,27,1,12,2020,"501082_1",3,12
2,2,30,1,12,2020,"501082_2",4,12
1,1,24,1,18,2020,"501694_1",3,18
2,2,29,1,18,2020,"501694_2",3,14
1,1,30,2,14,2020,"502060_3",4,14
1,1,33,1,14,2020,"502355_1",3,14
2,2,34,1,14,2020,"502355_2",4,14
1,3,61,2,14,2020,"502355_4",4,14
2,1,5,4,14,2020,"502364_1",2,14
1,1,26,1,14,2020,"503560_1",4,7
2,2,32,1,14,2020,"503560_2",3,7
1,1,19,1,14,2020,"503561_1",4,14
2,2,21,1,14,2020,"503561_2",4,14
1,1,24,1,14,2020,"503593_1",4,4
1,1,20,1,14,2020,"503674_1",5,14
2,2,27,1,14,2020,"503674_2",4,14
1,1,5,1,14,2020,"503788_1",3,14
2,2,16,1,14,2020,"503788_2",3,14
1,1,19,1,14,2020,"503931_1",4,14
2,2,25,1,14,2020,"503931_2",4,14
1,1,32,2,14,2020,"504157_1",4,18
1,1,16,4,15,2020,"504363_1",3,15
2,1,31,4,15,2020,"504395_1",4,15
1,2,37,2,15,2020,"504395_5",3,15
2,3,71,2,15,2020,"504395_4",4,15
1,1,39,1,16,2020,"504453_1",3,16
2,2,39,1,16,2020,"504453_2",4,16
2,3,66,2,16,2020,"504453_4",5,16
2,1,29,4,16,2020,"504584_1",2,16
1,1,15,1,16,2020,"504730_2",3,16
2,2,14,1,16,2020,"504730_1",3,16
1,3,51,2,16,2020,"504730_6",5,16
1,1,19,1,16,2020,"504792_1",4,16
2,2,18,1,16,2020,"504792_2",4,16
1,1,22,1,16,2020,"504889_1",4,16
2,2,24,1,16,2020,"504889_2",3,16
1,1,39,1,16,2020,"504921_1",4,10
2,2,36,1,16,2020,"504921_2",4,16
1,1,39,1,16,2020,"504937_1",3,16
2,2,40,1,16,2020,"504937_2",3,16
2,3,68,2,16,2020,"504937_3",4,16
2,3,72,2,16,2020,"504937_4",3,16
1,1,25,1,16,2020,"505022_2",2,16
2,2,21,1,16,2020,"505022_3",2,16
1,1,6,4,16,2020,"505167_1",2,16
2,1,25,4,17,2020,"505228_1",4,17
1,1,36,1,17,2020,"505390_1",5,16
2,2,36,1,17,2020,"505390_2",4,11
1,1,18,1,19,2020,"505517_1",3,19
2,2,14,1,19,2020,"505517_2",4,19
1,1,17,1,19,2020,"505525_1",3,19
2,2,21,1,19,2020,"505525_2",4,19
2,3,44,4,19,2020,"505525_4",5,19
1,4,76,2,19,2020,"505525_5",3,19
1,1,22,1,19,2020,"505534_2",3,19
2,2,34,1,19,2020,"505534_1",3,19
1,3,64,2,19,2020,"505534_3",4,14
1,1,20,1,19,2020,"505594_1",3,19
2,2,26,1,19,2020,"505594_2",3,19
2,1,23,4,19,2020,"505606_2",4,19
2,3,58,2,19,2020,"505606_3",5,19
2,1,10,4,19,2020,"505681_2",2,19
1,1,4,1,19,2020,"505771_1",4,19
2,2,10,1,19,2020,"505771_2",2,19
1,1,28,2,19,2020,"505806_2",2,19
1,1,32,1,19,2020,"505818_1",4,8
2,2,33,1,19,2020,"505818_2",3,8
1,3,63,2,19,2020,"505818_4",4,19
1,1,42,1,19,2020,"505839_1",4,19
2,2,42,1,19,2020,"505839_2",5,11
2,1,5,4,19,2020,"506100_2",1,20
2,1,34,1,19,2020,"506107_1",5,19
1,2,29,1,19,2020,"506107_2",3,19
1,3,67,2,19,2020,"506107_5",3,19
2,1,4,4,19,2020,"506112_2",1,19
2,1,20,4,3,2020,"506402_2",2,3
2,1,12,4,3,2020,"506418_2",2,3
1,1,21,1,3,2020,"506565_1",4,3
2,2,23,1,3,2020,"506565_2",5,3
1,1,56,2,14,2020,"506628_4",5,3
2,2,59,2,14,2020,"506628_7",5,11
1,1,12,1,20,2020,"506736_1",5,11
2,2,13,1,20,2020,"506736_2",5,11
1,1,37,1,20,2020,"506738_1",3,20
1,3,69,2,20,2020,"506738_4",5,20
1,3,63,2,20,2020,"506738_3",5,20
2,2,42,1,20,2020,"506738_2",4,20
1,1,7,1,20,2020,"506758_1",4,20
2,2,8,1,20,2020,"506758_2",2,20
1,4,40,3,20,2020,"506758_6",5,20
1,1,8,1,20,2020,"506767_1",4,19
2,2,9,1,20,2020,"506767_2",3,20
1,1,23,1,20,2020,"506799_1",3,20
2,2,12,1,20,2020,"506799_2",3,6
1,1,11,1,20,2020,"507182_1",3,20
2,2,13,1,20,2020,"507182_2",2,20
2,1,37,1,20,2020,"507282_1",4,20
1,2,33,1,20,2020,"507282_2",3,20
1,3,65,2,20,2020,"507282_3",4,20
2,3,70,2,20,2020,"507282_4",4,20
2,3,72,2,20,2020,"507282_5",4,20
1,1,22,1,20,2020,"507303_1",2,20
2,2,21,1,20,2020,"507303_2",3,20
1,1,10,1,20,2020,"507316_1",3,20
2,2,12,1,20,2020,"507316_2",2,20
1,1,10,2,20,2020,"507319_1",2,20
1,1,20,1,20,2020,"507336_1",2,20
2,2,25,1,20,2020,"507336_2",3,20
1,1,21,1,2,2020,"507419_1",3,2
2,2,30,1,2,2020,"507419_2",3,2
2,1,36,4,2,2020,"507444_2",3,2
2,1,16,4,2,2020,"507640_2",3,2
2,1,23,1,2,2020,"507644_2",2,2
1,2,23,1,2,2020,"507644_1",2,2
1,1,22,1,2,2020,"507728_2",4,2
2,4,23,1,2,2020,"507728_1",4,2
1,1,13,2,4,2020,"507863_1",5,4
2,1,27,1,4,2020,"507905_2",3,4
1,2,23,1,4,2020,"507905_1",2,4
1,4,55,1,4,2020,"507905_5",4,4
2,3,57,1,4,2020,"507905_4",4,4
2,4,79,2,4,2020,"507905_6",1,5
1,4,80,2,4,2020,"507905_7",1,5
2,1,32,4,4,2020,"507908_2",4,4
2,1,26,4,4,2020,"507913_1",4,4
2,3,52,2,4,2020,"507913_3",3,4
2,3,59,2,4,2020,"507913_4",3,4
2,1,18,1,4,2020,"507924_2",2,4
1,2,15,1,4,2020,"507924_1",2,4
1,3,43,2,4,2020,"507924_3",3,4
2,1,24,4,4,2020,"508861_2",3,4
1,1,9,1,7,2020,"509054_1",2,7
2,2,7,1,7,2020,"509054_2",2,7
2,3,41,2,7,2020,"509054_3",3,7
1,1,23,1,7,2020,"509057_1",3,7
2,2,31,1,7,2020,"509057_2",2,7
1,1,15,1,7,2020,"509071_1",3,13
2,2,18,1,7,2020,"509071_2",2,7
