"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
1,1,20,3,10,2016,"173_1",4,10
2,1,6,4,16,2016,"633_2",2,16
2,1,4,4,5,2016,"923_2",2,5
2,2,3,1,10,2016,"1367_2",1,10
1,1,19,1,9,2016,"1763_1",2,9
2,2,26,1,9,2016,"1763_2",2,9
1,1,25,2,16,2016,"1946_3",4,16
1,1,21,1,5,2016,"2886_1",4,5
2,2,24,1,5,2016,"2886_2",5,5
1,3,48,2,5,2016,"2886_3",4,5
2,1,26,2,8,2016,"3717_1",4,8
2,1,30,3,19,2016,"5416_2",2,13
2,3,50,2,19,2016,"5416_6",4,19
2,3,62,2,19,2016,"5416_5",3,19
1,3,52,2,19,2016,"5416_7",3,19
2,4,78,2,19,2016,"5416_8",1,19
1,1,22,1,20,2016,"7886_1",4,20
2,2,25,1,20,2016,"7886_2",4,20
2,1,20,1,9,2016,"11972_2",2,8
1,2,10,1,9,2016,"11972_1",2,8
1,1,32,1,16,2016,"20297_1",3,16
2,1,17,1,15,2016,"20711_2",3,15
1,2,16,1,15,2016,"20711_1",2,15
1,1,30,1,7,2016,"22099_1",3,7
2,2,34,1,7,2016,"22099_2",2,7
2,1,16,1,7,2016,"22169_2",2,7
1,2,9,1,7,2016,"22169_1",2,7
1,1,10,1,7,2016,"22173_1",2,7
2,2,7,1,7,2016,"22173_2",2,7
2,3,46,3,7,2016,"22173_6",4,7
2,4,78,2,7,2016,"22173_7",1,7
2,1,7,4,16,2016,"22208_2",2,16
1,1,21,2,19,2016,"22276_3",4,19
1,1,22,1,19,2016,"22286_1",3,19
2,2,28,1,19,2016,"22286_2",3,19
1,1,29,1,7,2016,"22624_1",2,7
2,2,33,1,7,2016,"22624_2",3,7
2,3,66,2,7,2016,"22624_6",4,7
2,3,68,2,7,2016,"22624_7",4,7
2,1,23,1,8,2016,"22657_1",5,8
1,2,18,1,8,2016,"22657_3",4,8
1,1,6,1,1,2016,"22996_1",4,1
2,2,14,1,1,2016,"22996_2",3,1
1,1,14,1,17,2016,"23370_1",3,17
2,2,14,1,17,2016,"23370_2",3,17
2,1,9,2,16,2016,"23490_2",4,16
1,1,27,1,7,2016,"23797_1",3,7
2,2,30,1,7,2016,"23797_2",2,7
2,1,8,4,8,2016,"23821_2",2,8
2,3,40,2,8,2016,"23821_4",3,8
2,1,9,4,8,2016,"23823_2",2,8
2,3,43,2,8,2016,"23823_3",4,8
1,1,20,1,15,2016,"24147_1",5,15
2,2,30,1,15,2016,"24147_2",4,15
1,1,24,1,19,2016,"24194_1",2,19
2,2,32,1,19,2016,"24194_2",3,19
1,3,55,2,19,2016,"24194_3",4,19
2,3,61,2,19,2016,"24194_4",4,19
2,1,21,4,5,2016,"24382_2",2,5
1,1,11,1,19,2016,"24616_1",2,19
2,2,16,1,19,2016,"24616_2",2,19
2,1,38,1,9,2016,"24764_2",3,7
1,2,35,1,9,2016,"24764_1",3,9
2,3,67,2,9,2016,"24764_3",4,8
2,3,69,2,9,2016,"24764_4",3,8
2,1,11,1,8,2016,"24809_2",2,8
1,2,3,1,8,2016,"24809_1",2,8
1,1,29,1,3,2016,"24853_1",3,8
2,2,34,1,3,2016,"24853_2",4,8
2,1,6,4,11,2016,"25007_2",4,11
2,1,10,4,18,2016,"26349_2",2,18
2,1,10,4,11,2016,"27114_2",2,11
2,1,12,4,11,2016,"27116_2",3,11
1,1,32,1,11,2016,"27157_1",4,11
2,2,35,1,11,2016,"27157_2",4,11
2,3,61,2,11,2016,"27157_3",5,11
1,3,67,2,11,2016,"27157_4",4,11
1,1,24,1,4,2016,"27238_1",3,4
2,2,33,1,4,2016,"27238_2",3,4
2,1,6,4,19,2016,"27509_2",2,19
2,1,21,1,13,2016,"27730_2",3,13
1,2,11,1,13,2016,"27730_1",2,13
2,3,43,2,13,2016,"27730_3",3,13
1,3,56,2,13,2016,"27730_5",4,13
2,1,23,1,13,2016,"27734_2",3,13
1,2,19,1,13,2016,"27734_1",2,13
2,1,10,4,13,2016,"27739_2",2,13
2,1,4,4,13,2016,"27742_2",1,13
1,1,20,1,5,2016,"27912_1",4,5
2,2,26,1,5,2016,"27912_2",3,5
1,3,56,2,5,2016,"27912_4",4,5
1,1,23,1,5,2016,"27923_1",4,5
2,2,29,1,5,2016,"27923_2",3,4
1,3,63,2,5,2016,"27923_6",4,5
1,3,71,2,5,2016,"27923_7",3,5
1,1,5,1,5,2016,"27947_1",2,5
2,2,4,1,5,2016,"27947_2",2,5
1,1,22,1,20,2016,"28441_1",5,20
2,2,30,1,20,2016,"28441_2",4,20
2,1,32,1,1,2016,"28802_2",4,1
1,2,28,1,1,2016,"28802_1",4,1
2,1,3,4,19,2016,"28859_2",4,19
2,2,13,1,13,2016,"28992_2",3,13
1,1,21,1,20,2016,"29140_1",3,20
2,2,24,1,20,2016,"29140_2",3,20
1,1,5,1,11,2016,"29678_1",3,11
2,2,9,1,11,2016,"29678_2",1,11
1,1,36,1,11,2016,"29680_1",3,11
2,2,42,1,11,2016,"29680_2",2,11
1,3,61,2,11,2016,"29680_3",4,11
1,3,65,2,11,2016,"29680_4",3,11
1,1,23,1,8,2016,"29737_1",6,8
2,2,25,1,8,2016,"29737_2",5,8
1,1,24,1,8,2016,"29742_1",2,8
2,2,26,1,8,2016,"29742_2",2,8
2,3,46,2,8,2016,"29742_3",3,8
1,3,57,2,8,2016,"29742_5",4,8
1,1,7,1,3,2016,"29798_1",2,3
2,2,8,1,3,2016,"29798_2",2,3
2,1,32,1,7,2016,"29823_3",5,7
1,2,37,1,7,2016,"29823_4",5,7
2,3,65,2,7,2016,"29823_5",4,7
1,3,66,2,7,2016,"29823_6",4,7
2,3,69,2,7,2016,"29823_7",3,7
1,3,72,2,7,2016,"29823_8",3,7
1,1,26,2,1,2016,"31093_1",3,1
2,1,10,1,19,2016,"31220_2",2,19
1,2,7,1,19,2016,"31220_1",2,19
2,1,10,4,19,2016,"31221_1",4,4
